VALUE;SUB_VALUE;SUB_VALUE2;TPLKZ;FLTYP;FLLEVEL;CODE_SEZ_PM;CODE_SIST;CODE_PARTE;TIPO_ELEM
0K;P2;02;Z-RSS;S;5;0000;18;1841;
0K;P2;03;Z-RSS;S;5;0000;18;1841;
0K;P2;04;Z-RSS;S;5;0000;18;1841;
0K;P2;05;Z-RSS;S;5;0000;18;1841;
0K;P2;06;Z-RSS;S;5;0000;18;1841;
0K;P2;07;Z-RSS;S;5;0000;18;1841;
0K;P2;08;Z-RSS;S;5;0000;18;1841;
0K;P2;09;Z-RSS;S;5;0000;18;1841;
0K;P2;10;Z-RSS;S;5;0000;18;1841;
0L;P1;05;Z-RSS;S;5;0000;18;1841;
0L;P1;06;Z-RSS;S;5;0000;18;1841;
0L;P2;05;Z-RSS;S;5;0000;18;1841;
0L;P2;06;Z-RSS;S;5;0000;18;1841;
0M;P1;05;Z-RSS;S;5;0000;18;1841;
0M;P1;06;Z-RSS;S;5;0000;18;1841;
0M;P2;05;Z-RSS;S;5;0000;18;1841;
0M;P2;06;Z-RSS;S;5;0000;18;1841;
0N;P1;05;Z-RSS;S;5;0000;18;1841;
0N;P1;06;Z-RSS;S;5;0000;18;1841;
0N;P2;05;Z-RSS;S;5;0000;18;1841;
0N;P2;06;Z-RSS;S;5;0000;18;1841;
0O;P1;05;Z-RSS;S;5;0000;18;1841;
0O;P1;06;Z-RSS;S;5;0000;18;1841;
0O;P2;05;Z-RSS;S;5;0000;18;1841;
0O;P2;06;Z-RSS;S;5;0000;18;1841;
0P;P1;05;Z-RSS;S;5;0000;18;1841;
0P;P1;06;Z-RSS;S;5;0000;18;1841;
0P;P2;05;Z-RSS;S;5;0000;18;1841;
0P;P2;06;Z-RSS;S;5;0000;18;1841;
0Q;P1;05;Z-RSS;S;5;0000;18;1841;
0Q;P1;06;Z-RSS;S;5;0000;18;1841;
0Q;P2;05;Z-RSS;S;5;0000;18;1841;
0Q;P2;06;Z-RSS;S;5;0000;18;1841;
0R;P1;05;Z-RSS;S;5;0000;18;1841;
F1;FP;02;Z-RSS;S;5;0000;18;1860;STS
F1;FP;03;Z-RSS;S;5;0000;18;1860;STS
F1;FP;04;Z-RSS;S;5;0000;18;1860;STS
F1;FP;05;Z-RSS;S;5;0000;18;1860;STS
F1;FP;06;Z-RSS;S;5;0000;18;1860;STS
F1;FP;07;Z-RSS;S;5;0000;18;1860;STS
F1;FP;08;Z-RSS;S;5;0000;18;1860;STS
