TPLNR	PLTXT	TPLKZ	FLTYP	EQART	BRGEW	GEWEI	GROES	INVNR	DATAB	ANSWT	WAERS	ANSDT	HERST	HERLD	TYPBZ	BAUJJ	BAUMM	MAPAR	SERGE	SWERK	STORT	BEBER	MSGRP	ABCKZ	EQFNR	BUKRS	KOSTL	RBNR	ANLNR	ANLUN	PROID	IWERK	INGRP	GEWRK	WERGW	TPLMA	POSNR	SUBMT	IEQUI	EINZL	NAME1	SORT1	STREET	HOUSE_NUM1	POST_CODE1	CITY1	COUNTRY	REGION	TIME_ZONE	TEL_NUMBER	MOB_NUMBER	FAX_NUMBER	SMTP_ADDR	PARVW	PARNR	TEL_NUMBER_OLD	MOB_NUMBER_OLD	FAX_NUMBER_OLD	ZZITO_CAP_NOM	ZZITO_CAP_PART	PARNR_OLD	SMTP_ADDR_OLD	PARVW_OLD	LONGITUDE	LATITUDE	ALTITUDE	Z_ABCKZ	TRPNR	ADRNRI
COS-COG3-0A-2M-MA	Fdr n.02 - Sección MT	Z-RSS	S	FL_MVSECT																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-2M											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-2M-MA-BS	Fdr n.02 - Conexión MT	Z-RSS	S	FL_MVSECT																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-2M-MA											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-3M	Fdr n.03 - Conexión de alimentadores MT	Z-RSS	S	FL_MVFEED																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-3M-MA	Fdr n.03 - Sección MT	Z-RSS	S	FL_MVSECT																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-3M											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-3M-MA-BS	Fdr n.03 - Conexión MT	Z-RSS	S	FL_MVSECT																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-3M-MA											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-4M	Fdr n.04 - Conexión de alimentadores MT	Z-RSS	S	FL_MVFEED																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-4M-MA	Fdr n.04 - Sección MT	Z-RSS	S	FL_MVSECT																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-4M											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-4M-MA-BS	Fdr n.04 - Conexión MT	Z-RSS	S	FL_MVSECT																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-4M-MA											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-5M	Fdr n.05 - Conexión de alimentadores MT	Z-RSS	S	FL_MVFEED																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-5M-MA	Fdr n.05 - Sección MT	Z-RSS	S	FL_MVSECT																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-5M											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-5M-MA-BS	Fdr n.05 - Conexión MT	Z-RSS	S	FL_MVSECT																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-5M-MA											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-6M	Fdr n.06 - Conexión de alimentadores MT	Z-RSS	S	FL_MVFEED																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-6M-MA	Fdr n.06 - Sección MT	Z-RSS	S	FL_MVSECT																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-6M											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-6M-MA-BS	Fdr n.06 - Conexión MT	Z-RSS	S	FL_MVSECT																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-6M-MA											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-7M	Fdr n.07 - Conexión de alimentadores MT	Z-RSS	S	FL_MVFEED																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-7M-MA	Fdr n.07 - Sección MT	Z-RSS	S	FL_MVSECT																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-7M											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-7M-MA-BS	Fdr n.07 - Conexión MT	Z-RSS	S	FL_MVSECT																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-7M-MA											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-8M	Fdr n.08 - Conexión de alimentadores MT	Z-RSS	S	FL_MVFEED																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-8M-MA	Fdr n.08 - Sección MT	Z-RSS	S	FL_MVSECT																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-8M											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-8M-MA-BS	Fdr n.08 - Conexión MT	Z-RSS	S	FL_MVSECT																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-8M-MA											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-9M	Fdr n.09 - Conexión de alimentadores MT	Z-RSS	S	FL_MVFEED																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-9M-MA	Fdr n.09 - Sección MT	Z-RSS	S	FL_MVSECT																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-9M											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-9M-MA-BS	Fdr n.09 - Conexión MT	Z-RSS	S	FL_MVSECT																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-9M-MA											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-9M-MA-Z1	Celdas de maniobra MT ZIG-ZAG 1	Z-RSS	S	FL_MVSECT																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-9M-MA											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-AM	Fdr n.10 - Conexión de alimentadores MT	Z-RSS	S	FL_MVFEED																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-AM-MA	Fdr n.10 - Sección MT	Z-RSS	S	FL_MVSECT																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-AM											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-AM-MA-BS	Fdr n.10 - Conexión MT	Z-RSS	S	FL_MVSECT																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-AM-MA											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-BM	Fdr n.11 - Conexión de alimentadores MT	Z-RSS	S	FL_MVFEED																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-BM-MA	Fdr n.11 - Sección MT	Z-RSS	S	FL_MVSECT																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-BM											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-BM-MA-BS	Fdr n.11 - Conexión MT	Z-RSS	S	FL_MVSECT																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-BM-MA											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-CM	Fdr n.12 - Conexión de alimentadores MT	Z-RSS	S	FL_MVFEED																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-CM-MA	Fdr n.12 - Sección MT	Z-RSS	S	FL_MVSECT																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-CM											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-CM-MA-BS	Fdr n.12 - Conexión MT	Z-RSS	S	FL_MVSECT																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-CM-MA											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-DM	Fdr n.13 - Conexión de alimentadores MT	Z-RSS	S	FL_MVFEED																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-DM-MA	Fdr n.13 - Sección MT	Z-RSS	S	FL_MVSECT																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-DM											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-DM-MA-BS	Fdr n.13 - Conexión MT	Z-RSS	S	FL_MVSECT																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-DM-MA											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-EM	Fdr n.14 - Conexión de alimentadores MT	Z-RSS	S	FL_MVFEED																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-EM-MA	Fdr n.14 - Sección MT	Z-RSS	S	FL_MVSECT																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-EM											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-EM-MA-BS	Fdr n.14 - Conexión MT	Z-RSS	S	FL_MVSECT																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-EM-MA											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-FM	Fdr n.15 - Conexión de alimentadores MT	Z-RSS	S	FL_MVFEED																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-FM-MA	Fdr n.15 - Sección MT	Z-RSS	S	FL_MVSECT																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-FM											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-FM-MA-BS	Fdr n.15 - Conexión MT	Z-RSS	S	FL_MVSECT																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-FM-MA											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-GM	Fdr n.16 - Conexión de alimentadores MT	Z-RSS	S	FL_MVFEED																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-GM-MA	Fdr n.16 - Sección MT	Z-RSS	S	FL_MVSECT																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-GM											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-GM-MA-BS	Fdr n.16 - Conexión MT	Z-RSS	S	FL_MVSECT																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-GM-MA											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-HM	Fdr n.17 - Conexión de alimentadores MT	Z-RSS	S	FL_MVFEED																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-HM-MA	Fdr n.17 - Sección MT	Z-RSS	S	FL_MVSECT																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-HM											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-HM-MA-BS	Fdr n.17 - Conexión MT	Z-RSS	S	FL_MVSECT																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-HM-MA											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-HM-MA-Z1	Celdas de maniobra MT ZIG-ZAG 2	Z-RSS	S	FL_MVSECT																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-HM-MA											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-LA	Distribución serv. auxiliares BT	Z-RSS	S	FL_AUXSYST																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-LA-LN	Cuadro CA BT - alim. normal/emerg.	Z-RSS	S	FL_AUXSYST																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-LA											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-LA-LN-01	Cuadro de baja tensión CA n. 01	Z-RSS	S	FL_AUXSYST																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-LA-LN											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-LA-LP	Cuadro CC BT - ininterrumpido	Z-RSS	S	FL_AUXSYST																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-LA											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-LA-LP-01	Cuadro de baja tensión CC n. 01	Z-RSS	S	FL_AUXSYST																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-LA-LP											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-LA-LU	Cuadro CA BT - ininterrumpido	Z-RSS	S	FL_AUXSYST																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-LA											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-LA-LU-01	Cuadro de baja tensión CA n. 01	Z-RSS	S	FL_AUXSYST																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-LA-LU											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-LA-SB	Cuadro general BT	Z-RSS	S	FL_AUXSYST																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-LA											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-LA-SB-01	Cuadro general BT n. 01	Z-RSS	S	FL_AUXSYST																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-LA-SB											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-LA-SG	Celdas de maniobra MT	Z-RSS	S	FL_AUXSYST																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-LA											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-LA-SG-01	Celdas de maniobra MT CTO n. 01	Z-RSS	S	FL_AUXSYST																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-LA-SG											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-LA-SG-02	Celdas de maniobra MT CTO n. 02	Z-RSS	S	FL_AUXSYST																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-LA-SG											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-LA-SG-03	Celdas de maniobra MT CTO n. 03	Z-RSS	S	FL_AUXSYST																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-LA-SG											CO																	-74,80993571	10,571545650408375				
