FL,Description,AM Section,AM Part,AM Component,Element Type,Tech.Obj.SAP CODE,Catalog Profile,Source_File,FL_Lunghezza,FL_RE,Check,Check_RE
kkS-yyyy-0A-xS-HV-Cn,Capacitor Bank HV,0000,18,1850,,FL_HVSECT,FL00000S,Solar_FL_SubStation_Guideline.csv,6,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-[1-9A-Z]S-HV-C[0-9],Cn_HV_xS_6,C[0-9]_HV_[1-9A-Z]S_6
kkS-yyyy-0A-xS-HV-BS,HV Connection,0000,18,1850,,FL_HVSECT,FL00000S,Solar_FL_SubStation_Guideline.csv,6,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-[1-9A-Z]S-HV-BS,BS_HV_xS_6,BS_HV_[1-9A-Z]S_6
kkS-yyyy-0A-xS-HV-Mn,Energy Meter,0000,18,1850,,FL_AUT&CON,FL00000S,Solar_FL_SubStation_Guideline.csv,6,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-[1-9A-Z]S-HV-M[0-9],Mn_HV_xS_6,M[0-9]_HV_[1-9A-Z]S_6
kkS-yyyy-0A-xS-OC,Civil Works,0000,18,1810,,FL_INFRAST,FL00000S,Solar_FL_SubStation_Guideline.csv,5,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-[1-9A-Z]S-OC,OC_xS_0A_5,OC_[1-9A-Z]S_0A_5
kkS-yyyy-0A-LA,LV Auxiliary services power distribution,0000,18,1850,,FL_AUXSYST,FL00000S,Solar_FL_SubStation_Guideline.csv,4,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-LA,LA_0A_4,LA_0A_4
kkS-yyyy-0A-LA-LP,DC LV Panel - uninterrupted,0000,18,1850,,FL_AUXSYST,FL00000S,Solar_FL_SubStation_Guideline.csv,5,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-LA-LP,LP_LA_0A_5,LP_LA_0A_5
kkS-yyyy-0A-LA-LP-nn,DC Low Voltage Panel nn,0000,18,1850,,FL_AUXSYST,FL00000S,Solar_FL_SubStation_Guideline.csv,6,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-LA-LP-(?!00)[0-9]{2},nn_LP_LA_6,(?!00)[0-9]{2}_LP_LA_6
kkS-yyyy-0A-LA-LN,AC LV Panel - normal and emergency p.s.,0000,18,1850,,FL_AUXSYST,FL00000S,Solar_FL_SubStation_Guideline.csv,5,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-LA-LN,LN_LA_0A_5,LN_LA_0A_5
kkS-yyyy-0A-LA-LN-nn,AC Low Voltage Panel nn,0000,18,1850,,FL_AUXSYST,FL00000S,Solar_FL_SubStation_Guideline.csv,6,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-LA-LN-(?!00)[0-9]{2},nn_LN_LA_6,(?!00)[0-9]{2}_LN_LA_6
kkS-yyyy-0A-LA-LU,AC LV Panel - uninterrupted ,0000,18,1850,,FL_AUXSYST,FL00000S,Solar_FL_SubStation_Guideline.csv,5,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-LA-LU,LU_LA_0A_5,LU_LA_0A_5
kkS-yyyy-0A-LA-LU-nn,AC Low Voltage Panel nn,0000,18,1850,,FL_AUXSYST,FL00000S,Solar_FL_SubStation_Guideline.csv,6,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-LA-LU-(?!00)[0-9]{2},nn_LU_LA_6,(?!00)[0-9]{2}_LU_LA_6
kkS-yyyy-0A-LA-SB,LV Switchboard,0000,18,1850,,FL_AUXSYST,FL00000S,Solar_FL_SubStation_Guideline.csv,5,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-LA-SB,SB_LA_0A_5,SB_LA_0A_5
kkS-yyyy-0A-LA-SB-nn,LV Switchboard nn,0000,18,1850,,FL_AUXSYST,FL00000S,Solar_FL_SubStation_Guideline.csv,6,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-LA-SB-(?!00)[0-9]{2},nn_SB_LA_6,(?!00)[0-9]{2}_SB_LA_6
kkS-yyyy-0A-LA-SG,LV Switchgear,0000,18,1850,,FL_AUXSYST,FL00000S,Solar_FL_SubStation_Guideline.csv,5,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-LA-SG,SG_LA_0A_5,SG_LA_0A_5
kkS-yyyy-0A-LA-SG-nn,LV Switchgear nn,0000,18,1850,,FL_AUXSYST,FL00000S,Solar_FL_SubStation_Guideline.csv,6,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-LA-SG-(?!00)[0-9]{2},nn_SG_LA_6,(?!00)[0-9]{2}_SG_LA_6
kkS-yyyy-0A-SA,Auxiliary service equipments,0000,18,1850,,FL_AUXSYST,FL00000S,Solar_FL_SubStation_Guideline.csv,4,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-SA,SA_0A_4,SA_0A_4
kkS-yyyy-0A-SA-DG,Diesel Generator,0000,18,1850,,FL_AUXSYST,FL00000S,Solar_FL_SubStation_Guideline.csv,5,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-SA-DG,DG_SA_0A_5,DG_SA_0A_5
kkS-yyyy-0A-SA-EP,External Power Supply,0000,18,1850,,FL_AUXSYST,FL00000S,Solar_FL_SubStation_Guideline.csv,5,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-SA-EP,EP_SA_0A_5,EP_SA_0A_5
kkS-yyyy-0A-SA-BT,Batteries Bank,0000,18,1850,,FL_AUXSYST,FL00000S,Solar_FL_SubStation_Guideline.csv,5,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-SA-BT,BT_SA_0A_5,BT_SA_0A_5
kkS-yyyy-0A-SA-BT-nn,Batteries Bank nn,0000,18,1850,,FL_AUXSYST,FL00000S,Solar_FL_SubStation_Guideline.csv,6,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-SA-BT-(?!00)[0-9]{2},nn_BT_SA_6,(?!00)[0-9]{2}_BT_SA_6
kkS-yyyy-0A-SA-TR,Auxiliary service Transformer,0000,18,1850,,FL_AUXSYST,FL00000S,Solar_FL_SubStation_Guideline.csv,5,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-SA-TR,TR_SA_0A_5,TR_SA_0A_5
kkS-yyyy-0A-SA-TR-nn,Transformer nn,0000,18,1850,,FL_AUXSYST,FL00000S,Solar_FL_SubStation_Guideline.csv,6,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-SA-TR-(?!00)[0-9]{2},nn_TR_SA_6,(?!00)[0-9]{2}_TR_SA_6
kkS-yyyy-0A-SA-TS,Automatic Transfer Switch,0000,18,1850,,FL_AUXSYST,FL00000S,Solar_FL_SubStation_Guideline.csv,5,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-SA-TS,TS_SA_0A_5,TS_SA_0A_5
kkS-yyyy-0A-SA-TS-nn,Automatic Transfer Switch nn,0000,18,1850,,FL_AUXSYST,FL00000S,Solar_FL_SubStation_Guideline.csv,6,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-SA-TS-(?!00)[0-9]{2},nn_TS_SA_6,(?!00)[0-9]{2}_TS_SA_6
kkS-yyyy-0A-SA-UP,UPS,0000,18,1850,,FL_AUXSYST,FL00000S,Solar_FL_SubStation_Guideline.csv,5,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-SA-UP,UP_SA_0A_5,UP_SA_0A_5
kkS-yyyy-0A-SA-FC,HVAC,0000,18,1850,,FL_AUXSYST,FL00000S,Solar_FL_SubStation_Guideline.csv,5,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-SA-FC,FC_SA_0A_5,FC_SA_0A_5
kkS-yyyy-0A-RE,Rectifier AC/DC,0000,18,1850,,FL_AUXSYST,FL00000S,Solar_FL_SubStation_Guideline.csv,4,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-RE,RE_0A_4,RE_0A_4
kkS-yyyy-0A-RE-nn,Rectifier AC/DC,0000,18,1850,,FL_AUXSYST,FL00000S,Solar_FL_SubStation_Guideline.csv,5,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-RE-(?!00)[0-9]{2},nn_RE_0A_5,(?!00)[0-9]{2}_RE_0A_5
kkS-yyyy-0A-xM,MV Feeders Connection,0000,18,1850,,FL_MVFEED,FL00000S,Solar_FL_SubStation_Guideline.csv,4,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-[1-9A-Z]M,xM_0A_4,[1-9A-Z]M_0A_4
