FL;Description;AM Section;AM Part;AM Component;Element Type;Tech.Obj.SAP CODE;Catalog Profile
kkH-yyyy-Gk-H1x-14-14;Interuttore ;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H1x-14-16;Sezionatore;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H1x-15;Stallo trasformatore;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H1x-15-14;Interuttore ;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H1x-15-16;Sezionatore;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H1x-16;Linee di proprieta' AT;0000;11;1150;LNA;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H1x-18;Contatori energia;0000;11;1180;ALI;FL_AUT&CON;FL00000H
kkH-yyyy-Gk-H1x-19;Protezioni elettriche ;0000;11;1180;ALI;FL_AUT&CON;FL00000H
kkH-yyyy-Gk-H1x-20;Stallo rifasamento;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H1x-20-14;Interuttore ;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H1x-20-16;Sezionatore;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H1x-21;Stallo conversione;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H1x-21-14;Interuttore ;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H1x-21-16;Sezionatore;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H1x-22;Stallo S.A.;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H1x-22-14;Interuttore ;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H1x-22-16;Sezionatore;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H2x;Sezione di smistamento AT 220 kV;0000;11;1150;ALI;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H2x-10;Sensori di corrente e di tensione (TA/TV);0000;11;1150;ALI;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H2x-10-;Trasformatore di corrente;0000;11;1150;ALI;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H2x-10-02;Trasformatore di tensione;0000;11;1150;ALI;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H2x-11;Stallo linea AT;0000;11;1150;ALI;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H2x-11-14;Interuttore ;0000;11;1150;ALI;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H2x-11-16;Sezionatore;0000;11;1150;ALI;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H2x-12;Automatismi servizi ausialiari AT;0000;11;1150;ALI;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H2x-13;Collegamenti AT;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H2x-14;Stallo parallelo e.o traslazione;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H2x-14-14;Interuttore ;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H2x-14-16;Sezionatore;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H2x-15;Stallo trasformatore;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H2x-15-14;Interuttore ;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H2x-15-16;Sezionatore;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H2x-16;Linee di proprieta' AT;0000;11;1150;LNA;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H2x-18;Contatori energia;0000;11;1180;ALI;FL_AUT&CON;FL00000H
kkH-yyyy-Gk-H2x-19;Protezioni elettriche ;0000;11;1180;ALI;FL_AUT&CON;FL00000H
kkH-yyyy-Gk-H2x-20;Stallo rifasamento;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H2x-20-14;Interuttore ;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H2x-20-16;Sezionatore;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H2x-21;Stallo conversione;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H2x-21-14;Interuttore ;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H2x-21-16;Sezionatore;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H2x-22;Stallo S.A.;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H2x-22-14;Interuttore ;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H2x-22-16;Sezionatore;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H3x;Sezione di smistamento AT 132-150 kV;0000;11;1150;ALI;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H3x-10;Sensori di corrente e di tensione (TA/TV);0000;11;1150;ALI;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H3x-10-01;Trasformatore di corrente;0000;11;1150;ALI;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H3x-10-02;Trasformatore di tensione;0000;11;1150;ALI;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H3x-11;Stallo linea AT;0000;11;1150;ALI;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H3x-11-14;Interuttore ;0000;11;1150;ALI;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H3x-11-16;Sezionatore;0000;11;1150;ALI;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H3x-12;Automatismi servizi ausialiari AT;0000;11;1150;ALI;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H3x-13;Collegamenti AT;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H3x-14;Stallo parallelo e.o traslazione;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H3x-14-14;Interuttore ;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H3x-14-16;Sezionatore;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H3x-15;Stallo trasformatore;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H3x-15-14;Interuttore ;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H3x-15-16;Sezionatore;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H3x-16;Linee di proprieta' AT;0000;11;1150;LNA;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H3x-18;Contatori energia;0000;11;1180;ALI;FL_AUT&CON;FL00000H
kkH-yyyy-Gk-H3x-19;Protezioni elettriche ;0000;11;1180;ALI;FL_AUT&CON;FL00000H
kkH-yyyy-Gk-H3x-20;Stallo rifasamento;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H3x-20-14;Interuttore ;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H3x-20-16;Sezionatore;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H3x-21;Stallo conversione;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H3x-21-14;Interuttore ;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H3x-21-16;Sezionatore;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H3x-22;Stallo S.A.;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H3x-22-14;Interuttore ;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H3x-22-16;Sezionatore;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H4x;Sezione di smistamento AT < 132 kV;0000;11;1150;ALI;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H4x-10;Sensori di corrente e di tensione (TA/TV);0000;11;1150;ALI;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H4x-10-01;Trasformatore di corrente;0000;11;1150;ALI;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H4x-10-02;Trasformatore di tensione;0000;11;1150;ALI;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H4x-11;Stallo linea AT;0000;11;1150;ALI;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H4x-11-14;Interuttore ;0000;11;1150;ALI;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H4x-11-16;Sezionatore;0000;11;1150;ALI;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H4x-12;Automatismi servizi ausialiari AT;0000;11;1150;ALI;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H4x-13;Collegamenti AT;0000;11;1150;STL;FL_HVSECT;FL00000H
