FL;Description;AM Section;AM Part;AM Component;Element Type;Tech.Obj.SAP CODE;Catalog Profile
kkE-yyyy-WE-N0-FD;Fire Detection;0000;51;5190;;FL_SAFSYST;FL00000E
kkE-yyyy-WE-N0-FS;Fire fighing (sprinkler & agent storage);0000;51;5190;;FL_SAFSYST;FL00000E
kkE-yyyy-ZE;Bess Common East/South;;;;;;FL00000E
kkE-yyyy-ZE-SA;BESS Dedicated Auxiliary System;0000;51;5150;;FL_AUXSYST;FL00000E
kkE-yyyy-ZE-SA-DG;Backup Generator;0000;51;5150;;FL_AUXSYST;FL00000E
kkE-yyyy-ZE-SA-TS;AutomaticTransferSwitch (ATS);0000;51;5150;;FL_AUXSYST;FL00000E
kkE-yyyy-ZE-SA-UP;UPS;0000;51;5150;;FL_AUXSYST;FL00000E
kkE-yyyy-ZE-SA-TR;Ausiliary Transformer;0000;51;5150;;FL_TRANSF;FL00000E
kkE-yyyy-ZE-SA-IT;Circuit Breaker;0000;51;5150;;FL_AUXSYST;FL00000E
kkE-yyyy-ZE-SA-EP;External Power Supply;0000;51;5150;;FL_AUXSYST;FL00000E
kkE-yyyy-ZE-SA-ME;Auxiliary Meters;0000;51;5150;;FL_AUXSYST;FL00000E
kkE-yyyy-ZE-N0;BESS Control System;0000;51;5190;;FL_AUT&CON;FL00000E
kkE-yyyy-ZE-N0-SC;BESS SCADA;0000;51;5190;;FL_AUT&CON;FL00000E
kkE-yyyy-ZE-N0-SW;Switch-router;0000;51;5190;;FL_AUT&CON;FL00000E
kkE-yyyy-ZE-N0-CC;Control Card;0000;51;5190;;FL_AUT&CON;FL00000E
kkE-yyyy-ZE-N0-HM;HMI;0000;51;5190;;FL_AUT&CON;FL00000E
kkE-yyyy-ZE-N0-CM;Communication cable;0000;51;5190;;FL_AUT&CON;FL00000E
kkE-yyyy-ZE-N0-PL;Centralized Safety PLC;0000;51;5190;;FL_AUT&CON;FL00000E
kkE-yyyy-ZE-N0-HV;HVAC;0000;51;5150;;FL_AUXSYST;FL00000E
kkE-yyyy-ZE-N0-FD;Fire Detection;0000;51;5190;;FL_SAFSYST;FL00000E
kkE-yyyy-ZE-N0-FS;Fire fighing (sprinkler & agent storage);0000;51;5190;;FL_SAFSYST;FL00000E
