FL;Description;AM Section;AM Part;AM Component;Element Type;Tech.Obj.SAP CODE;Catalog Profile
kkR-yyyy-yy-75-OC0;OPERE CIVILI;1370;13;1330;ALG;FL_INFRAST;FL00000R
kkR-yyyy-yy-75-PLn;POMPA ALIMENTAZ. LAVAGGIO;1370;13;1330;ILG;FL_PUMPS;FL00000R
kkR-yyyy-yy-75-PRn;POMPA IMPIANTO REINIEZIONE n;1370;13;1330;ALG;FL_PUMPS;FL00000R
kkR-yyyy-yy-75-Q1n;QUADRO UPS;1370;13;1330;ALG;FL_AUXSYST;FL00000R
kkR-yyyy-yy-75-QAn;QUADRO AUTOMAZIONE POZZO;1370;13;1330;ALG;FL_AUXSYST;FL00000R
kkR-yyyy-yy-75-QBn;QUADRO ALIMENTAZIONI;1370;13;1330;ALG;FL_AUXSYST;FL00000R
kkR-yyyy-yy-75-QMn;QUADRO MANOVRA;1370;13;1330;ALG;FL_AUXSYST;FL00000R
kkR-yyyy-yy-75-QRn;QUADRO REINIEZIONE;1370;13;1330;ALG;FL_AUXSYST;FL00000R
kkR-yyyy-yy-75-SPn;SEPARATORE ATMOSFERICO STAZ. PISCINA;1370;13;1330;ALG;FL_DEMIST;FL00000R
kkR-yyyy-yy-75-T0n;TRASFORMATORE TS MT/BT;1370;13;1330;ALG;FL_AUXSYST;FL00000R
kkR-yyyy-yy-75-TC0;QUADRO TELECOMANDO POZZO;1370;13;1330;ALG;FL_OTHER;FL00000R
kkR-yyyy-yy-75-TV0;TUBAZIONI E VALVOLE IMPIANTO;1370;13;1330;ALG;FL_PIPING;FL00000R
kkR-yyyy-yy-75-VBn;VALVOLA;1370;13;1330;ALG;FL_ELECEQ;FL00000R
kkR-yyyy-yy-75-VRn;VASCA IMPIANTO;1370;13;1330;ALG;FL_INFRAST;FL00000R
kkR-yyyy-yy-75;IMPIANTO REINIEZIONE;1370;13;1330;SIG;FL_AUXSYST;FL00000R
kkR-yyyy-yy-80;POZZO BOCCAPOZZO OPERE CIVILI;1390;13;1320;SIG;FL_WEL_P&R;FL00000R
kkR-yyyy-yy-80-BPy;BOCCAPOZZO POZZO y;1390;13;1320;ALG;FL_WEL_P&R;FL00000R
kkR-yyyy-yy-80-OC0;OPERE CIVILI;1390;13;1320;ALG;FL_INFRAST;FL00000R
kkR-yyyy-yy-80-SLy;SILENZIATORE N.y;1390;13;1330;ALG;FL_WEL_P&R;FL00000R
kkR-yyyy-yy-80-TUy;TUBING POZZO N.y;1390;13;1320;ALG;FL_STEAMWA;FL00000R
kkR-yyyy-yy-80-TC0;TELECOMANDO;1390;13;1330;ALG;FL_OTHER;FL00000R
kkR-yyyy-yy-83;IMPIANTO INIBITORE;1360;13;1330;ALG;FL_FLUTREA;FL00000R
kkR-yyyy-yy-83-ARy;AGITATORE;1360;13;1330;ALG;FL_FLUTREA;FL00000R
kkR-yyyy-yy-83-CS0;STRUMENTAZIONE IMP.INIB.;1360;13;1330;ALG;FL_AUT&CON;FL00000R
kkR-yyyy-yy-83-PIy;POMPA INIBITORE;1360;13;1330;ALG;FL_PUMPS;FL00000R
